"","year","region","crime_rate","pop_density","pol_officer_rate","pov_rate","unemp_rate","med_age"
"264",2000,"district of columbia",5768.6,9378.01639344262,7.42,17.3,5.8,34
"265",2000,"florida",4882.7,296.31566457163,2.57,12.1,3.6,38
"266",2000,"georgia",4246.4,141.34313437732,3.03,12.6,3.7,33
"267",2000,"hawaii",4955.1,188.62478592558,2.5,10.5,4.3,36
"268",2000,"idaho",2933.7,15.6367052966127,1.94,13.3,4.9,33
"269",2000,"illinois",3629.4,223.396704621085,2.93,10.5,4.4,34
"270",2000,"indiana",3402.8,169.514496793978,1.83,8.2,3.2,35
"271",2000,"iowa",2967.3,52.3726890380313,1.68,7.9,2.6,36
"272",2000,"kansas",4019.4,32.8565073390123,2.44,10.4,3.7,35
"273",2000,"kentucky",2665.2,101.725787778113,1.97,12.5,4.1,35
"274",2000,"louisiana",4741.7,102.579442684662,3.81,18.6,5.5,34
"275",2000,"maine",2510.2,41.306431232788,1.69,9.8,3.5,38
"276",2000,"maryland",4029.5,541.84,2.74,7.3,3.9,36
"277",2000,"massachusetts",2550,810.040443990814,2.62,10.2,2.6,36
"278",2000,"michigan",3554.9,174.944885493496,2.14,10.2,3.6,35
"279",2000,"minnesota",3207.6,61.7893037919037,1.7,7.8,3.3,35
"280",2000,"mississippi",3643.5,60.6355885236816,2.07,15.5,5.7,33
"281",2000,"missouri",4037.7,81.2100641528056,2.14,9.7,3.5,36
"282",2000,"montana",3292.7,6.19826733353486,1.58,16,4.9,37
"283",2000,"nebraska",3767.9,22.2594630453446,1.88,10.6,3,35
"284",2000,"nevada",3744.4,18.1980675008652,2.41,10,4.1,35
"285",2000,"new hampshire",2257.8,137.784145389676,1.83,7.4,2.8,37
"286",2000,"new jersey",2776.6,1134.16228602237,3.63,8.1,3.8,36
"287",2000,"new mexico",4761,14.9883490985795,2.29,19.3,4.9,34
"288",2000,"new york",2545.7,401.839255463324,3.26,14.7,4.6,35
"289",2000,"north carolina",4421.8,165.222566607825,2.56,13.2,3.6,35
"290",2000,"north dakota",2206.6,9.30805577296577,1.7,12.7,3,36
"291",2000,"ohio",3707.7,277.223646619295,2.02,11.1,4.1,36
"292",2000,"oklahoma",4060.8,50.2432184510549,2.02,14.1,3,35
"293",2000,"oregon",4494.7,35.6388304410325,1.64,12.8,4.9,36
"294",2000,"pennsylvania",2575.3,274.008344489067,2.02,9.9,4.2,38
"295",2000,"rhode island",3178.7,1003.17607655502,2.33,10,4.1,36
"296",2000,"south carolina",4416.5,133.240742585766,2.77,11.9,3.9,35
"297",2000,"south dakota",2153,9.94576789290608,1.56,9.3,2.3,35
"298",2000,"tennessee",4183,138.025740556539,2.76,13.3,3.9,35
"299",2000,"texas",4410.4,79.6132318241866,2.24,14.9,4.2,32
"300",2000,"utah",4220.3,27.1780863596534,1.92,8.1,3.2,27
"301",2000,"vermont",2873.4,65.8262514866472,1.58,10.1,2.9,37
"302",2000,"virginia",2746.4,178.75940704076,2.34,8.1,2.2,35
"303",2000,"washington",4736,88.5255703579099,1.59,9.4,5.2,35
